[Wed Mar 30 22:45:52 2016] [error] [client 127.0.0.1] File does not exist: D:/domains/yii/favicon.ico
[Wed Mar 30 22:45:52 2016] [error] [client 127.0.0.1] File does not exist: D:/domains/yii/favicon.ico
[Wed Mar 30 22:49:30 2016] [error] [client 127.0.0.1] client denied by server configuration: D:/domains/yii/
[Wed Mar 30 22:57:24 2016] [error] [client 127.0.0.1] client denied by server configuration: D:/domains/yii/framework/
[Wed Mar 30 22:57:24 2016] [error] [client 127.0.0.1] client denied by server configuration: D:/domains/yii/protected/
[Wed Mar 30 23:08:28 2016] [error] [client 127.0.0.1] client denied by server configuration: D:/domains/yii/framework/
[Wed Mar 30 23:08:28 2016] [error] [client 127.0.0.1] client denied by server configuration: D:/domains/yii/protected/
[Wed Mar 30 23:09:02 2016] [error] [client 127.0.0.1] client denied by server configuration: D:/domains/yii/framework/
[Wed Mar 30 23:09:02 2016] [error] [client 127.0.0.1] client denied by server configuration: D:/domains/yii/protected/
[Wed Mar 30 23:09:11 2016] [error] [client 127.0.0.1] client denied by server configuration: D:/domains/yii/framework/
[Wed Mar 30 23:09:11 2016] [error] [client 127.0.0.1] client denied by server configuration: D:/domains/yii/protected/
[Wed Mar 30 23:10:08 2016] [error] [client 127.0.0.1] client denied by server configuration: D:/domains/yii/framework/
[Wed Mar 30 23:10:08 2016] [error] [client 127.0.0.1] client denied by server configuration: D:/domains/yii/protected/
[Wed Mar 30 23:11:27 2016] [error] [client 127.0.0.1] client denied by server configuration: D:/domains/yii/framework/
[Wed Mar 30 23:11:27 2016] [error] [client 127.0.0.1] client denied by server configuration: D:/domains/yii/protected/
[Wed Mar 30 23:11:40 2016] [error] [client 127.0.0.1] client denied by server configuration: D:/domains/yii/framework/
[Wed Mar 30 23:11:40 2016] [error] [client 127.0.0.1] client denied by server configuration: D:/domains/yii/protected/
[Wed Mar 30 23:11:51 2016] [error] [client 127.0.0.1] client denied by server configuration: D:/domains/yii/framework/
[Wed Mar 30 23:11:51 2016] [error] [client 127.0.0.1] client denied by server configuration: D:/domains/yii/protected/
[Wed Mar 30 23:13:44 2016] [error] [client 127.0.0.1] client denied by server configuration: D:/domains/yii/framework/
[Wed Mar 30 23:13:44 2016] [error] [client 127.0.0.1] client denied by server configuration: D:/domains/yii/protected/
[Wed Mar 30 23:16:55 2016] [error] [client 127.0.0.1] client denied by server configuration: D:/domains/yii/framework/
[Wed Mar 30 23:16:55 2016] [error] [client 127.0.0.1] client denied by server configuration: D:/domains/yii/protected/
[Wed Mar 30 23:19:23 2016] [error] [client 127.0.0.1] client denied by server configuration: D:/domains/yii/framework/
[Wed Mar 30 23:19:23 2016] [error] [client 127.0.0.1] client denied by server configuration: D:/domains/yii/protected/
[Wed Mar 30 23:27:28 2016] [error] [client 127.0.0.1] client denied by server configuration: D:/domains/yii/framework/
[Wed Mar 30 23:27:28 2016] [error] [client 127.0.0.1] client denied by server configuration: D:/domains/yii/protected/
[Thu Mar 31 11:15:20 2016] [error] [client 127.0.0.1] client denied by server configuration: D:/domains/yii/framework/
[Thu Mar 31 11:15:20 2016] [error] [client 127.0.0.1] client denied by server configuration: D:/domains/yii/protected/
[Thu Mar 31 12:45:16 2016] [error] [client 127.0.0.1] client denied by server configuration: D:/domains/yii/framework/
[Thu Mar 31 12:45:16 2016] [error] [client 127.0.0.1] client denied by server configuration: D:/domains/yii/protected/
[Thu Mar 31 12:46:20 2016] [error] [client 127.0.0.1] client denied by server configuration: D:/domains/yii/framework/
[Thu Mar 31 12:46:20 2016] [error] [client 127.0.0.1] client denied by server configuration: D:/domains/yii/protected/
[Thu Mar 31 12:46:32 2016] [error] [client 127.0.0.1] client denied by server configuration: D:/domains/yii/framework/
[Thu Mar 31 12:46:32 2016] [error] [client 127.0.0.1] client denied by server configuration: D:/domains/yii/protected/
[Fri Apr 01 12:33:11 2016] [error] [client 127.0.0.1] client denied by server configuration: D:/domains/yii/framework/
[Fri Apr 01 12:33:11 2016] [error] [client 127.0.0.1] client denied by server configuration: D:/domains/yii/protected/
